Tue Sep 15 00:51:11 2020 Fold 0, Epoch 28, lr: 0.0000079, train loss: 0.22313, valid loss: 0.47420, Acc: 83.9172, AUC: 0.819929, AUC_no_ext: 0.819929.
Tue Sep 15 00:54:35 2020 Fold 0, Epoch 29, lr: 0.0000035, train loss: 0.20392, valid loss: 0.48711, Acc: 83.4395, AUC: 0.821572, AUC_no_ext: 0.821572.
Tue Sep 15 00:57:58 2020 Fold 0, Epoch 30, lr: 0.0000009, train loss: 0.21309, valid loss: 0.48252, Acc: 83.9172, AUC: 0.813383, AUC_no_ext: 0.813383.
Tue Sep 15 01:01:23 2020 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.64192, valid loss: 0.57904, Acc: 75.3145, AUC: 0.666199, AUC_no_ext: 0.666199.
Tue Sep 15 01:04:47 2020 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.46524, valid loss: 0.48956, Acc: 78.1447, AUC: 0.752043, AUC_no_ext: 0.752043.
Tue Sep 15 01:08:12 2020 Fold 1, Epoch 3, lr: 0.0002991, train loss: 0.42134, valid loss: 0.47667, Acc: 78.4591, AUC: 0.763715, AUC_no_ext: 0.763715.
Tue Sep 15 01:11:37 2020 Fold 1, Epoch 4, lr: 0.0002965, train loss: 0.39083, valid loss: 0.54885, Acc: 79.2453, AUC: 0.762500, AUC_no_ext: 0.762500.
Tue Sep 15 01:15:03 2020 Fold 1, Epoch 5, lr: 0.0002921, train loss: 0.39506, valid loss: 0.48111, Acc: 80.9748, AUC: 0.770700, AUC_no_ext: 0.770700.
Tue Sep 15 01:18:28 2020 Fold 1, Epoch 6, lr: 0.0002861, train loss: 0.36650, valid loss: 0.51593, Acc: 79.8742, AUC: 0.774145, AUC_no_ext: 0.774145.
Tue Sep 15 01:21:54 2020 Fold 1, Epoch 7, lr: 0.0002785, train loss: 0.35100, valid loss: 0.51362, Acc: 83.3333, AUC: 0.802310, AUC_no_ext: 0.802310.
Tue Sep 15 01:25:19 2020 Fold 1, Epoch 8, lr: 0.0002694, train loss: 0.35051, valid loss: 0.88686, Acc: 80.9748, AUC: 0.801275, AUC_no_ext: 0.801275.
Tue Sep 15 01:28:44 2020 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.33020, valid loss: 0.54546, Acc: 83.6478, AUC: 0.840692, AUC_no_ext: 0.840692.
Tue Sep 15 01:32:11 2020 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.32078, valid loss: 0.44499, Acc: 81.6038, AUC: 0.837326, AUC_no_ext: 0.837326.
Tue Sep 15 01:35:36 2020 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.31052, valid loss: 0.48039, Acc: 81.9182, AUC: 0.848771, AUC_no_ext: 0.848771.
Tue Sep 15 01:39:01 2020 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.30754, valid loss: 0.46478, Acc: 85.5346, AUC: 0.827377, AUC_no_ext: 0.827377.
Tue Sep 15 01:42:26 2020 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.29610, valid loss: 0.42804, Acc: 87.4214, AUC: 0.836632, AUC_no_ext: 0.836632.
Tue Sep 15 01:45:52 2020 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.30140, valid loss: 0.40289, Acc: 87.1069, AUC: 0.848210, AUC_no_ext: 0.848210.
Tue Sep 15 01:49:16 2020 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.29557, valid loss: 0.47662, Acc: 84.7484, AUC: 0.836058, AUC_no_ext: 0.836058.
Tue Sep 15 01:52:41 2020 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.27784, valid loss: 0.46405, Acc: 85.6918, AUC: 0.837286, AUC_no_ext: 0.837286.
Tue Sep 15 01:56:06 2020 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.27268, valid loss: 0.45903, Acc: 85.2201, AUC: 0.833881, AUC_no_ext: 0.833881.
Tue Sep 15 01:59:31 2020 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.25869, valid loss: 0.47464, Acc: 85.5346, AUC: 0.830182, AUC_no_ext: 0.830182.
Tue Sep 15 02:02:57 2020 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.25869, valid loss: 0.49911, Acc: 84.4340, AUC: 0.821408, AUC_no_ext: 0.821408.
Tue Sep 15 02:06:22 2020 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.26286, valid loss: 0.51092, Acc: 84.2767, AUC: 0.826883, AUC_no_ext: 0.826883.
Tue Sep 15 02:09:47 2020 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.24344, valid loss: 0.49783, Acc: 84.9057, AUC: 0.835670, AUC_no_ext: 0.835670.
Tue Sep 15 02:13:12 2020 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.24619, valid loss: 0.48937, Acc: 86.1635, AUC: 0.838088, AUC_no_ext: 0.838088.
Tue Sep 15 02:16:38 2020 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.23832, valid loss: 0.45750, Acc: 86.1635, AUC: 0.841360, AUC_no_ext: 0.841360.
Tue Sep 15 02:20:03 2020 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.22687, valid loss: 0.45488, Acc: 86.1635, AUC: 0.845419, AUC_no_ext: 0.845419.
Tue Sep 15 02:23:29 2020 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.22457, valid loss: 0.46511, Acc: 86.3208, AUC: 0.842655, AUC_no_ext: 0.842655.
Tue Sep 15 02:26:55 2020 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.21574, valid loss: 0.50135, Acc: 85.5346, AUC: 0.838021, AUC_no_ext: 0.838021.
Tue Sep 15 02:30:20 2020 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.22644, valid loss: 0.49199, Acc: 85.8491, AUC: 0.837300, AUC_no_ext: 0.837300.
Tue Sep 15 02:33:46 2020 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.22097, valid loss: 0.49103, Acc: 86.3208, AUC: 0.838902, AUC_no_ext: 0.838902.
Tue Sep 15 02:37:11 2020 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.20453, valid loss: 0.47499, Acc: 86.0063, AUC: 0.839183, AUC_no_ext: 0.839183.
Tue Sep 15 02:40:36 2020 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.21717, valid loss: 0.47598, Acc: 86.0063, AUC: 0.840251, AUC_no_ext: 0.840251.
Tue Sep 15 02:44:01 2020 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.65689, valid loss: 0.55991, Acc: 76.5723, AUC: 0.612636, AUC_no_ext: 0.612636.
Tue Sep 15 02:47:28 2020 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.47275, valid loss: 0.52185, Acc: 77.2013, AUC: 0.721824, AUC_no_ext: 0.721824.
Tue Sep 15 02:50:54 2020 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.41545, valid loss: 0.46106, Acc: 79.7170, AUC: 0.765133, AUC_no_ext: 0.765133.
Tue Sep 15 02:54:19 2020 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.38351, valid loss: 0.44326, Acc: 80.9748, AUC: 0.776556, AUC_no_ext: 0.776556.
Tue Sep 15 02:57:44 2020 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.38812, valid loss: 0.56010, Acc: 80.5031, AUC: 0.791524, AUC_no_ext: 0.791524.
Tue Sep 15 03:01:10 2020 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.36530, valid loss: 0.45343, Acc: 82.7044, AUC: 0.762254, AUC_no_ext: 0.762254.
Tue Sep 15 03:04:36 2020 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.35851, valid loss: 0.42922, Acc: 82.3899, AUC: 0.799042, AUC_no_ext: 0.799042.
Tue Sep 15 03:08:01 2020 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.36392, valid loss: 0.42789, Acc: 82.7044, AUC: 0.795387, AUC_no_ext: 0.795387.
Tue Sep 15 03:11:27 2020 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.32763, valid loss: 0.49806, Acc: 78.1447, AUC: 0.819949, AUC_no_ext: 0.819949.
Tue Sep 15 03:14:51 2020 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.34782, valid loss: 0.41880, Acc: 85.5346, AUC: 0.811752, AUC_no_ext: 0.811752.
Tue Sep 15 03:18:17 2020 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.33213, valid loss: 0.47167, Acc: 82.7044, AUC: 0.773482, AUC_no_ext: 0.773482.
Tue Sep 15 03:21:42 2020 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.30331, valid loss: 0.46499, Acc: 82.7044, AUC: 0.801548, AUC_no_ext: 0.801548.
Tue Sep 15 03:25:07 2020 Fold 2, Epoch 13, lr: 0.0002055, train loss: 0.30413, valid loss: 0.42822, Acc: 84.9057, AUC: 0.807266, AUC_no_ext: 0.807266.
Tue Sep 15 03:28:32 2020 Fold 2, Epoch 14, lr: 0.0001901, train loss: 0.28804, valid loss: 0.44073, Acc: 84.7484, AUC: 0.838572, AUC_no_ext: 0.838572.
Tue Sep 15 03:31:57 2020 Fold 2, Epoch 15, lr: 0.0001743, train loss: 0.29849, valid loss: 0.45180, Acc: 83.4906, AUC: 0.809343, AUC_no_ext: 0.809343.
Tue Sep 15 03:35:23 2020 Fold 2, Epoch 16, lr: 0.0001581, train loss: 0.28218, valid loss: 0.37693, Acc: 85.6918, AUC: 0.834819, AUC_no_ext: 0.834819.
Tue Sep 15 03:38:47 2020 Fold 2, Epoch 17, lr: 0.0001419, train loss: 0.28325, valid loss: 0.36672, Acc: 88.2075, AUC: 0.845855, AUC_no_ext: 0.845855.
Tue Sep 15 03:42:13 2020 Fold 2, Epoch 18, lr: 0.0001257, train loss: 0.26836, valid loss: 0.42639, Acc: 82.2327, AUC: 0.842961, AUC_no_ext: 0.842961.
Tue Sep 15 03:45:38 2020 Fold 2, Epoch 19, lr: 0.0001099, train loss: 0.26903, valid loss: 0.39634, Acc: 85.5346, AUC: 0.840773, AUC_no_ext: 0.840773.
Tue Sep 15 03:49:03 2020 Fold 2, Epoch 20, lr: 0.0000945, train loss: 0.25359, valid loss: 0.42216, Acc: 84.5912, AUC: 0.842199, AUC_no_ext: 0.842199.
Tue Sep 15 03:52:28 2020 Fold 2, Epoch 21, lr: 0.0000797, train loss: 0.25215, valid loss: 0.41713, Acc: 86.4780, AUC: 0.857970, AUC_no_ext: 0.857970.
Tue Sep 15 03:55:54 2020 Fold 2, Epoch 22, lr: 0.0000658, train loss: 0.24706, valid loss: 0.39184, Acc: 86.6352, AUC: 0.857582, AUC_no_ext: 0.857582.
Tue Sep 15 03:59:20 2020 Fold 2, Epoch 23, lr: 0.0000529, train loss: 0.23802, valid loss: 0.42634, Acc: 86.6352, AUC: 0.844428, AUC_no_ext: 0.844428.
Tue Sep 15 04:02:45 2020 Fold 2, Epoch 24, lr: 0.0000411, train loss: 0.23272, valid loss: 0.43166, Acc: 84.9057, AUC: 0.849081, AUC_no_ext: 0.849081.
Tue Sep 15 04:06:10 2020 Fold 2, Epoch 25, lr: 0.0000306, train loss: 0.22159, valid loss: 0.43670, Acc: 86.3208, AUC: 0.852944, AUC_no_ext: 0.852944.
Tue Sep 15 04:09:35 2020 Fold 2, Epoch 26, lr: 0.0000215, train loss: 0.23028, valid loss: 0.42506, Acc: 86.7925, AUC: 0.858274, AUC_no_ext: 0.858274.
