Sat Sep 12 08:48:56 2020 Fold 0, Epoch 39, lr: 0.0002080, train loss: 0.41236, valid loss: 0.37841, Acc: 84.0764, AUC: 0.870803.
Sat Sep 12 08:53:52 2020 Fold 0, Epoch 40, lr: 0.0002035, train loss: 0.38567, valid loss: 0.37963, Acc: 85.5096, AUC: 0.865357.
Sat Sep 12 08:58:49 2020 Fold 0, Epoch 41, lr: 0.0001991, train loss: 0.38762, valid loss: 0.42507, Acc: 83.2803, AUC: 0.875951.
Sat Sep 12 09:03:45 2020 Fold 0, Epoch 42, lr: 0.0001945, train loss: 0.40186, valid loss: 0.38737, Acc: 83.9172, AUC: 0.868807.
Sat Sep 12 09:08:42 2020 Fold 0, Epoch 43, lr: 0.0001900, train loss: 0.38540, valid loss: 0.43923, Acc: 82.6433, AUC: 0.861636.
Sat Sep 12 09:13:38 2020 Fold 0, Epoch 44, lr: 0.0001854, train loss: 0.37996, valid loss: 0.39841, Acc: 85.0318, AUC: 0.854846.
Sat Sep 12 09:18:35 2020 Fold 0, Epoch 45, lr: 0.0001807, train loss: 0.37808, valid loss: 0.36654, Acc: 85.3503, AUC: 0.864230.
Sat Sep 12 09:23:31 2020 Fold 0, Epoch 46, lr: 0.0001760, train loss: 0.35768, valid loss: 0.32637, Acc: 87.7389, AUC: 0.896865.
Sat Sep 12 09:28:28 2020 Fold 0, Epoch 47, lr: 0.0001713, train loss: 0.35569, valid loss: 0.42149, Acc: 82.0064, AUC: 0.832478.
Sat Sep 12 09:33:23 2020 Fold 0, Epoch 48, lr: 0.0001666, train loss: 0.35397, valid loss: 0.42599, Acc: 83.4395, AUC: 0.844646.
Sat Sep 12 09:38:19 2020 Fold 0, Epoch 49, lr: 0.0001619, train loss: 0.36174, valid loss: 0.48993, Acc: 78.8217, AUC: 0.796325.
Sat Sep 12 09:43:15 2020 Fold 0, Epoch 50, lr: 0.0001571, train loss: 0.34176, valid loss: 0.37937, Acc: 84.8726, AUC: 0.870790.
Sat Sep 12 09:48:11 2020 Fold 0, Epoch 51, lr: 0.0001524, train loss: 0.35199, valid loss: 0.43793, Acc: 83.5987, AUC: 0.837666.
Sat Sep 12 09:53:06 2020 Fold 0, Epoch 52, lr: 0.0001476, train loss: 0.34249, valid loss: 0.41706, Acc: 81.6879, AUC: 0.861677.
Sat Sep 12 09:58:02 2020 Fold 0, Epoch 53, lr: 0.0001429, train loss: 0.33814, valid loss: 0.36345, Acc: 86.4650, AUC: 0.870858.
Sat Sep 12 10:02:58 2020 Fold 0, Epoch 54, lr: 0.0001381, train loss: 0.32881, valid loss: 0.40877, Acc: 85.1911, AUC: 0.860849.
Sat Sep 12 10:07:53 2020 Fold 0, Epoch 55, lr: 0.0001334, train loss: 0.33987, valid loss: 0.37699, Acc: 85.3503, AUC: 0.858662.
Sat Sep 12 10:12:49 2020 Fold 0, Epoch 56, lr: 0.0001287, train loss: 0.33158, valid loss: 0.41893, Acc: 81.8471, AUC: 0.864733.
Sat Sep 12 10:17:45 2020 Fold 0, Epoch 57, lr: 0.0001240, train loss: 0.33439, valid loss: 0.43398, Acc: 82.0064, AUC: 0.849386.
Sat Sep 12 10:22:41 2020 Fold 0, Epoch 58, lr: 0.0001193, train loss: 0.31729, valid loss: 0.40007, Acc: 84.8726, AUC: 0.856625.
Sat Sep 12 10:27:36 2020 Fold 0, Epoch 59, lr: 0.0001146, train loss: 0.31192, valid loss: 0.39489, Acc: 85.8280, AUC: 0.857983.
Sat Sep 12 10:32:32 2020 Fold 0, Epoch 60, lr: 0.0001100, train loss: 0.32304, valid loss: 0.36041, Acc: 86.1465, AUC: 0.863252.
Sat Sep 12 10:37:29 2020 Fold 0, Epoch 61, lr: 0.0001055, train loss: 0.32517, valid loss: 0.38735, Acc: 84.0764, AUC: 0.863144.
Sat Sep 12 10:42:24 2020 Fold 0, Epoch 62, lr: 0.0001009, train loss: 0.31219, valid loss: 0.35897, Acc: 85.9873, AUC: 0.881614.
Sat Sep 12 10:47:20 2020 Fold 0, Epoch 63, lr: 0.0000965, train loss: 0.29980, valid loss: 0.40092, Acc: 82.9618, AUC: 0.872094.
Sat Sep 12 10:52:15 2020 Fold 0, Epoch 64, lr: 0.0000920, train loss: 0.29709, valid loss: 0.38760, Acc: 84.5541, AUC: 0.867612.
Sat Sep 12 10:57:11 2020 Fold 0, Epoch 65, lr: 0.0000877, train loss: 0.30091, valid loss: 0.39438, Acc: 85.5096, AUC: 0.854683.
Sat Sep 12 11:02:07 2020 Fold 0, Epoch 66, lr: 0.0000834, train loss: 0.29553, valid loss: 0.37563, Acc: 85.3503, AUC: 0.873846.
Sat Sep 12 11:07:04 2020 Fold 0, Epoch 67, lr: 0.0000792, train loss: 0.29773, valid loss: 0.36961, Acc: 86.4650, AUC: 0.861908.
Sat Sep 12 11:11:59 2020 Fold 0, Epoch 68, lr: 0.0000750, train loss: 0.29255, valid loss: 0.35454, Acc: 86.9427, AUC: 0.870274.
Sat Sep 12 11:16:54 2020 Fold 0, Epoch 69, lr: 0.0000709, train loss: 0.28686, valid loss: 0.37242, Acc: 87.5796, AUC: 0.879590.
Sat Sep 12 11:21:52 2020 Fold 0, Epoch 70, lr: 0.0000669, train loss: 0.27737, valid loss: 0.36859, Acc: 86.1465, AUC: 0.881818.
Sat Sep 12 11:26:52 2020 Fold 0, Epoch 71, lr: 0.0000630, train loss: 0.28432, valid loss: 0.37713, Acc: 85.8280, AUC: 0.882687.
Sat Sep 12 11:31:47 2020 Fold 0, Epoch 72, lr: 0.0000592, train loss: 0.26580, valid loss: 0.36062, Acc: 86.6242, AUC: 0.874959.
Sat Sep 12 11:36:43 2020 Fold 0, Epoch 73, lr: 0.0000554, train loss: 0.26077, valid loss: 0.39080, Acc: 84.8726, AUC: 0.881560.
Sat Sep 12 11:41:38 2020 Fold 0, Epoch 74, lr: 0.0000518, train loss: 0.28051, valid loss: 0.36846, Acc: 85.1911, AUC: 0.883773.
Sat Sep 12 11:46:33 2020 Fold 0, Epoch 75, lr: 0.0000482, train loss: 0.26908, valid loss: 0.34917, Acc: 85.6688, AUC: 0.893443.
Sat Sep 12 11:51:29 2020 Fold 0, Epoch 76, lr: 0.0000448, train loss: 0.27004, valid loss: 0.41743, Acc: 83.7580, AUC: 0.873221.
Sat Sep 12 11:56:24 2020 Fold 0, Epoch 77, lr: 0.0000414, train loss: 0.25712, valid loss: 0.39510, Acc: 84.0764, AUC: 0.872976.
Sat Sep 12 12:01:19 2020 Fold 0, Epoch 78, lr: 0.0000382, train loss: 0.26615, valid loss: 0.37574, Acc: 85.3503, AUC: 0.878572.
Sat Sep 12 12:06:15 2020 Fold 0, Epoch 79, lr: 0.0000351, train loss: 0.26246, valid loss: 0.39754, Acc: 83.9172, AUC: 0.873357.
Sat Sep 12 12:11:10 2020 Fold 0, Epoch 80, lr: 0.0000321, train loss: 0.26763, valid loss: 0.40255, Acc: 83.4395, AUC: 0.870695.
Sat Sep 12 12:16:06 2020 Fold 0, Epoch 81, lr: 0.0000292, train loss: 0.25988, valid loss: 0.38744, Acc: 84.3949, AUC: 0.873044.
Sat Sep 12 12:21:01 2020 Fold 0, Epoch 82, lr: 0.0000264, train loss: 0.24501, valid loss: 0.39763, Acc: 84.2357, AUC: 0.874443.
Sat Sep 12 12:25:56 2020 Fold 0, Epoch 83, lr: 0.0000238, train loss: 0.26853, valid loss: 0.37181, Acc: 85.5096, AUC: 0.877187.
