Fri Sep 11 05:02:02 2020 Fold 1, Epoch 3, lr: 0.0002991, train loss: 0.45349, valid loss: 0.43991, acc: 80.8176, auc: 0.811365, auc_no_ext: 0.811365.
Fri Sep 11 05:05:12 2020 Fold 1, Epoch 4, lr: 0.0002965, train loss: 0.45481, valid loss: 0.43612, acc: 81.6038, auc: 0.818830, auc_no_ext: 0.818830.
Fri Sep 11 05:08:20 2020 Fold 1, Epoch 5, lr: 0.0002921, train loss: 0.43986, valid loss: 0.46002, acc: 82.3899, auc: 0.805556, auc_no_ext: 0.805556.
Fri Sep 11 05:11:27 2020 Fold 1, Epoch 6, lr: 0.0002861, train loss: 0.43012, valid loss: 0.48180, acc: 81.9182, auc: 0.804567, auc_no_ext: 0.804567.
Fri Sep 11 05:14:35 2020 Fold 1, Epoch 7, lr: 0.0002785, train loss: 0.43009, valid loss: 0.44188, acc: 82.8616, auc: 0.812460, auc_no_ext: 0.812460.
Fri Sep 11 05:17:42 2020 Fold 1, Epoch 8, lr: 0.0002694, train loss: 0.41104, valid loss: 0.44549, acc: 83.0189, auc: 0.830275, auc_no_ext: 0.830275.
Fri Sep 11 05:20:51 2020 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.40770, valid loss: 0.45052, acc: 80.8176, auc: 0.799239, auc_no_ext: 0.799239.
Fri Sep 11 05:23:59 2020 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.38196, valid loss: 0.48567, acc: 80.9748, auc: 0.806290, auc_no_ext: 0.806290.
Fri Sep 11 05:27:05 2020 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.39199, valid loss: 0.43922, acc: 82.3899, auc: 0.813488, auc_no_ext: 0.813488.
Fri Sep 11 05:30:08 2020 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.37010, valid loss: 0.45989, acc: 82.3899, auc: 0.838822, auc_no_ext: 0.838822.
Fri Sep 11 05:33:10 2020 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.36771, valid loss: 0.47667, acc: 82.5472, auc: 0.809989, auc_no_ext: 0.809989.
Fri Sep 11 05:36:13 2020 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.35975, valid loss: 0.41973, acc: 83.6478, auc: 0.828205, auc_no_ext: 0.828205.
Fri Sep 11 05:39:16 2020 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.34148, valid loss: 0.41607, acc: 83.9623, auc: 0.847569, auc_no_ext: 0.847569.
Fri Sep 11 05:42:19 2020 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.34290, valid loss: 0.42613, acc: 85.0629, auc: 0.852804, auc_no_ext: 0.852804.
Fri Sep 11 05:45:21 2020 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.32326, valid loss: 0.42675, acc: 86.1635, auc: 0.855622, auc_no_ext: 0.855622.
Fri Sep 11 05:48:23 2020 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.32225, valid loss: 0.42962, acc: 85.0629, auc: 0.850881, auc_no_ext: 0.850881.
