Mon Sep 14 00:10:35 2020 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.45252, valid loss: 0.39435, Acc: 87.0130, AUC: 0.854934.
Mon Sep 14 00:14:45 2020 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.43999, valid loss: 0.40208, Acc: 85.3896, AUC: 0.853454.
Mon Sep 14 00:18:56 2020 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.42663, valid loss: 0.40570, Acc: 87.6623, AUC: 0.848300.
Mon Sep 14 00:23:06 2020 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.42057, valid loss: 0.42822, Acc: 86.0390, AUC: 0.852961.
Mon Sep 14 00:27:17 2020 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.40512, valid loss: 0.46494, Acc: 75.6494, AUC: 0.857346.
Mon Sep 14 00:31:27 2020 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.40413, valid loss: 0.43667, Acc: 84.0909, AUC: 0.843037.
Mon Sep 14 00:35:38 2020 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.37800, valid loss: 0.39146, Acc: 86.0390, AUC: 0.851206.
Mon Sep 14 00:39:49 2020 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.38090, valid loss: 0.45500, Acc: 80.8442, AUC: 0.830537.
Mon Sep 14 00:43:59 2020 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.38008, valid loss: 0.38091, Acc: 86.3636, AUC: 0.848575.
Mon Sep 14 00:48:09 2020 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.35271, valid loss: 0.41095, Acc: 85.7143, AUC: 0.855373.
Mon Sep 14 00:52:19 2020 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.35489, valid loss: 0.37189, Acc: 86.6883, AUC: 0.860581.
Mon Sep 14 00:56:30 2020 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.33949, valid loss: 0.37617, Acc: 87.3377, AUC: 0.854550.
Mon Sep 14 01:00:41 2020 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.32347, valid loss: 0.37010, Acc: 87.0130, AUC: 0.847588.
Mon Sep 14 01:04:51 2020 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.31397, valid loss: 0.37373, Acc: 87.3377, AUC: 0.861787.
Mon Sep 14 01:09:01 2020 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.31506, valid loss: 0.36208, Acc: 88.3117, AUC: 0.853564.
Mon Sep 14 01:13:11 2020 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.29755, valid loss: 0.37389, Acc: 87.9870, AUC: 0.850548.
Mon Sep 14 01:17:21 2020 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.29677, valid loss: 0.39509, Acc: 87.9870, AUC: 0.856689.
Mon Sep 14 01:21:32 2020 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.29029, valid loss: 0.38268, Acc: 87.3377, AUC: 0.855482.
Mon Sep 14 01:25:42 2020 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.29752, valid loss: 0.38348, Acc: 87.9870, AUC: 0.854715.
Mon Sep 14 01:29:53 2020 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.27741, valid loss: 0.38715, Acc: 87.3377, AUC: 0.854002.
Mon Sep 14 01:34:03 2020 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.28380, valid loss: 0.38498, Acc: 87.0130, AUC: 0.856086.
Mon Sep 14 01:38:14 2020 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.28130, valid loss: 0.38556, Acc: 87.0130, AUC: 0.856031.
Mon Sep 14 01:42:24 2020 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.52365, valid loss: 0.51438, Acc: 73.7342, AUC: 0.706197.
Mon Sep 14 01:46:34 2020 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.52398, valid loss: 0.52977, Acc: 74.6835, AUC: 0.710381.
Mon Sep 14 01:50:44 2020 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.50153, valid loss: 0.47196, Acc: 78.1646, AUC: 0.786335.
Mon Sep 14 01:54:55 2020 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.48182, valid loss: 0.50183, Acc: 77.2152, AUC: 0.773358.
Mon Sep 14 01:59:05 2020 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.47015, valid loss: 0.45147, Acc: 78.4810, AUC: 0.796292.
Mon Sep 14 02:03:16 2020 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.47657, valid loss: 0.54430, Acc: 81.3291, AUC: 0.732574.
Mon Sep 14 02:07:27 2020 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.46515, valid loss: 0.46743, Acc: 77.8481, AUC: 0.802119.
Mon Sep 14 02:11:37 2020 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.45973, valid loss: 0.40927, Acc: 82.5949, AUC: 0.847087.
Mon Sep 14 02:15:47 2020 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.45208, valid loss: 0.42634, Acc: 80.3797, AUC: 0.834746.
Mon Sep 14 02:19:58 2020 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.45041, valid loss: 0.42275, Acc: 81.0127, AUC: 0.821663.
Mon Sep 14 02:24:08 2020 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.45049, valid loss: 0.38825, Acc: 84.8101, AUC: 0.854767.
Mon Sep 14 02:28:17 2020 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.43302, valid loss: 0.45641, Acc: 76.2658, AUC: 0.829820.
Mon Sep 14 02:32:27 2020 Fold 2, Epoch 13, lr: 0.0002055, train loss: 0.42104, valid loss: 0.39473, Acc: 83.8608, AUC: 0.875000.
Mon Sep 14 02:36:37 2020 Fold 2, Epoch 14, lr: 0.0001901, train loss: 0.41197, valid loss: 0.34329, Acc: 87.6582, AUC: 0.879714.
